,Country,Count of Natural Disasters
0,Afghanistan,200
1,Albania,36
2,Algeria,77
3,American Samoa,5
4,Angola,74
5,Anguilla,6
6,Antigua and Barbuda,10
7,Argentina,119
8,Armenia,11
9,Australia,240
10,Austria,50
11,Azerbaijan,15
12,Azores Islands,4
13,Bahamas (the),20
14,Bahrain,1
15,Bangladesh,317
16,Barbados,12
17,Belarus,14
18,Belgium,61
19,Belize,19
20,Benin,51
21,Bermuda,5
22,Bhutan,12
23,Bolivia (Plurinational State of),96
24,Bosnia and Herzegovina,26
25,Botswana,21
26,Brazil,227
27,Brunei Darussalam,1
28,Bulgaria,48
29,Burkina Faso,59
30,Burundi,62
31,Cabo Verde,15
32,Cambodia,42
33,Cameroon,54
34,Canada,121
35,Canary Is,7
36,Cayman Islands (the),7
37,Central African Republic,44
38,Chad,60
39,Chile,97
40,China,906
41,Colombia,188
42,Comoros (the),23
43,Congo (the Democratic Republic of the),138
44,Congo (the),33
45,Cook Islands (the),10
46,Costa Rica,68
47,Croatia,30
48,Cuba,76
49,Cyprus,13
50,Czech Republic (the),29
51,Czechoslovakia,9
52,Côte d’Ivoire,30
53,Denmark,16
54,Djibouti,26
55,Dominica,13
56,Dominican Republic (the),76
57,Ecuador,95
58,Egypt,31
59,El Salvador,66
60,Equatorial Guinea,1
61,Eritrea,8
62,Estonia,4
63,Ethiopia,116
64,Fiji,56
65,Finland,3
66,France,173
67,French Guiana,3
68,French Polynesia,7
69,Gabon,13
70,Gambia (the),30
71,Georgia,25
72,Germany,82
73,Germany Dem Rep,3
74,Germany Fed Rep,13
75,Ghana,52
76,Greece,85
77,Grenada,6
78,Guadeloupe,13
79,Guam,9
80,Guatemala,115
81,Guinea,38
82,Guinea-Bissau,22
83,Guyana,12
84,Haiti,117
85,Honduras,85
86,Hong Kong,108
87,Hungary,34
88,Iceland,13
89,India,658
90,Indonesia,528
91,Iran (Islamic Republic of),205
92,Iraq,23
93,Ireland,25
94,Isle of Man,1
95,Israel,19
96,Italy,147
97,Jamaica,37
98,Japan,272
99,Jordan,14
100,Kazakhstan,25
101,Kenya,119
102,Kiribati,6
103,Korea (the Democratic People's Republic of),47
104,Korea (the Republic of),107
105,Kuwait,3
106,Kyrgyzstan,31
107,Lao People's Democratic Republic (the),51
108,Latvia,9
109,Lebanon,12
110,Lesotho,24
111,Liberia,24
112,Libya,3
113,Lithuania,14
114,Luxembourg,13
115,Macao,7
116,Macedonia (the former Yugoslav Republic of),24
117,Madagascar,88
118,Malawi,70
119,Malaysia,93
120,Maldives,8
121,Mali,57
122,Marshall Islands (the),7
123,Martinique,14
124,Mauritania,43
125,Mauritius,21
126,Mexico,262
127,Micronesia (Federated States of),11
128,Moldova (the Republic of),16
129,Mongolia,37
130,Montenegro,6
131,Montserrat,7
132,Morocco,50
133,Mozambique,115
134,Myanmar,69
135,Namibia,32
136,Nepal,123
137,Netherlands (the),39
138,Netherlands Antilles,2
139,New Caledonia,11
140,New Zealand,72
141,Nicaragua,77
142,Niger (the),92
143,Nigeria,136
144,Niue,3
145,Northern Mariana Islands (the),5
146,Norway,12
147,Oman,16
148,Pakistan,213
149,Palau,5
150,"Palestine, State of",9
151,Panama,59
152,Papua New Guinea,84
153,Paraguay,56
154,Peru,178
155,Philippines (the),612
156,Poland,58
157,Portugal,46
158,Puerto Rico,33
159,Qatar,1
160,Romania,92
161,Russian Federation (the),173
162,Rwanda,52
163,Réunion,13
164,Saint Barthélemy,1
165,"Saint Helena, Ascension and Tristan da Cunha",1
166,Saint Kitts and Nevis,8
167,Saint Lucia,18
168,Saint Martin (French Part),1
169,Saint Vincent and the Grenadines,21
170,Samoa,13
171,Sao Tome and Principe,4
172,Saudi Arabia,28
173,Senegal,48
174,Serbia,27
175,Serbia Montenegro,16
176,Seychelles,7
177,Sierra Leone,32
178,Singapore,4
179,Sint Maarten (Dutch part),1
180,Slovakia,23
181,Slovenia,10
182,Solomon Islands,34
183,Somalia,97
184,South Africa,105
185,South Sudan,25
186,Soviet Union,47
187,Spain,98
188,Sri Lanka,113
189,Sudan (the),99
190,Suriname,3
191,Swaziland,18
192,Sweden,16
193,Switzerland,58
194,Syrian Arab Republic,15
195,Taiwan (Province of China),94
196,Tajikistan,74
197,"Tanzania, United Republic of",110
198,Thailand,155
199,Timor-Leste,13
200,Togo,28
201,Tokelau,3
202,Tonga,22
203,Trinidad and Tobago,12
204,Tunisia,20
205,Turkey,141
206,Turkmenistan,2
207,Turks and Caicos Islands (the),7
208,Tuvalu,9
209,Uganda,100
210,Ukraine,39
211,United Arab Emirates (the),1
212,United Kingdom of Great Britain and Northern Ireland (the),94
213,United States of America (the),949
214,Uruguay,33
215,Uzbekistan,9
216,Vanuatu,47
217,Venezuela (Bolivarian Republic of),56
218,Viet Nam,241
219,Virgin Island (British),4
220,Virgin Island (U.S.),8
221,Wallis and Futuna,3
222,Yemen,55
223,Yemen Arab Rep,7
224,Yemen P Dem Rep,7
225,Yugoslavia,15
226,Zambia,50
227,Zimbabwe,51
