,Year,Disaster Group
0,1970,82
1,1971,63
2,1972,63
3,1973,65
4,1974,72
5,1975,67
6,1976,99
7,1977,141
8,1978,137
9,1979,122
10,1980,144
11,1981,146
12,1982,150
13,1983,206
14,1984,156
15,1985,175
16,1986,174
17,1987,227
18,1988,234
19,1989,189
20,1990,303
21,1991,266
22,1992,232
23,1993,267
24,1994,255
25,1995,277
26,1996,273
27,1997,323
28,1998,363
29,1999,416
30,2000,523
31,2001,447
32,2002,532
33,2003,392
34,2004,405
35,2005,498
36,2006,446
37,2007,449
38,2008,400
39,2009,384
40,2010,441
41,2011,357
42,2012,370
43,2013,353
44,2014,348
45,2015,398
46,2016,350
47,2017,371
48,2018,338
49,2019,442
50,2020,398
51,2021,315
